Timestamp,Sequence,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature,Pressure,CRC
2026-08-07 14:17:08.235,24620,0.053955078125,-0.03125,0.985107421875,0.7251908183097839,3.251908302307129,-0.09923664480447769,31.809999465942383,902.7597045898438,24402
2026-08-07 14:17:08.255,24621,0.052001953125,-0.023681640625,0.98974609375,0.5267175436019897,3.1679389476776123,-0.3129771053791046,31.809999465942383,902.7597045898438,537
2026-08-07 14:17:08.275,24622,0.054443359375,-0.024658203125,0.99072265625,0.5648854970932007,3.251908302307129,-0.05343511328101158,31.809999465942383,902.7601318359375,63496
2026-08-07 14:17:08.295,24623,0.049560546875,-0.025146484375,0.986572265625,0.45038166642189026,3.3740458488464355,0.28244274854660034,31.809999465942383,902.7601318359375,33191
2026-08-07 14:17:08.315,24624,0.052978515625,-0.02490234375,0.990478515625,0.5343511700630188,3.213740348815918,-0.05343511328101158,31.809999465942383,902.7601318359375,8420
2026-08-07 14:17:08.335,24625,0.056396484375,-0.02392578125,0.98583984375,0.6793892979621887,3.3816792964935303,0.06870228797197342,31.809999465942383,902.7601318359375,58280
2026-08-07 14:17:08.355,24626,0.053955078125,-0.02880859375,0.986572265625,0.6183205842971802,3.1603052616119385,-0.06106870248913765,31.809999465942383,902.7601318359375,34022
2026-08-07 14:17:08.375,24627,0.054931640625,-0.024658203125,0.98291015625,0.6412213444709778,3.3740458488464355,-0.022900763899087906,31.809999465942383,902.7500610351562,65394
2026-08-07 14:17:08.395,24628,0.049560546875,-0.025390625,0.992431640625,0.694656491279602,3.3358778953552246,0.1221374049782753,31.809999465942383,902.7500610351562,11184
2026-08-07 14:17:08.415,24629,0.053466796875,-0.0244140625,0.985595703125,0.5648854970932007,3.358778715133667,0.12977099418640137,31.809999465942383,902.7500610351562,59769
2026-08-07 14:17:08.435,24630,0.052490234375,-0.02392578125,0.990478515625,0.7938931584358215,3.14503812789917,0.015267175622284412,31.809999465942383,902.7500610351562,47021
2026-08-07 14:17:08.456,24631,0.0517578125,-0.026611328125,0.988525390625,0.2442748099565506,3.0839693546295166,-0.20610687136650085,31.809999465942383,902.7081298828125,307
2026-08-07 14:17:08.475,24632,0.050048828125,-0.02490234375,0.98583984375,0.5648854970932007,3.106870174407959,0.0,31.809999465942383,902.7081298828125,20032
2026-08-07 14:17:08.495,24633,0.05224609375,-0.025634765625,0.981689453125,0.2748091518878937,3.282442808151245,0.06870228797197342,31.809999465942383,902.7081298828125,64258
2026-08-07 14:17:08.515,24634,0.055419921875,-0.02734375,0.985595703125,0.6412213444709778,3.114503860473633,-0.06870228797197342,31.809999465942383,902.7081298828125,31970
2026-08-07 14:17:08.535,24635,0.0517578125,-0.029541015625,0.982666015625,0.7938931584358215,3.503816843032837,0.0,31.809999465942383,902.7081298828125,62603
2026-08-07 14:17:08.556,24636,0.05078125,-0.025146484375,0.98974609375,0.7022900581359863,2.9847328662872314,-0.015267175622284412,31.809999465942383,902.7164916992188,32179
2026-08-07 14:17:08.575,24637,0.05126953125,-0.025146484375,0.98095703125,0.5648854970932007,3.183206081390381,0.05343511328101158,31.809999465942383,902.7164916992188,54433
2026-08-07 14:17:08.595,24638,0.05126953125,-0.02294921875,0.98681640625,0.7938931584358215,3.4122138023376465,0.1450381726026535,31.809999465942383,902.7164916992188,23952
2026-08-07 14:17:08.615,24639,0.053466796875,-0.02783203125,0.9853515625,0.694656491279602,3.0152671337127686,0.007633587811142206,31.809999465942383,902.7164916992188,23811
2026-08-07 14:17:08.635,24640,0.04833984375,-0.02294921875,0.987548828125,0.6030534505844116,3.503816843032837,-0.06870228797197342,31.809999465942383,902.7164916992188,986
2026-08-07 14:17:08.656,24641,0.05029296875,-0.024658203125,0.984130859375,0.5648854970932007,3.2061069011688232,-0.10687022656202316,31.809999465942383,902.7631225585938,3027
2026-08-07 14:17:08.675,24642,0.054443359375,-0.02685546875,0.990234375,0.5267175436019897,3.183206081390381,0.11450381577014923,31.809999465942383,902.7631225585938,4843
2026-08-07 14:17:08.695,24643,0.0576171875,-0.02490234375,0.987060546875,0.37404578924179077,3.1297709941864014,-0.1679389327764511,31.809999465942383,902.7631225585938,5087
